사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019081000100052,2019년 8월 10일 00시,토요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,보행자,남,29세,중상
2019081000100146,2019년 8월 10일 07시,토요일,대전광역시 서구 정림동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,47세,기타불명
2019081000100172,2019년 8월 10일 08시,토요일,대전광역시 서구 월평동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,43세,상해없음,보행자,남,76세,중상
2019081000100649,2019년 8월 10일 21시,토요일,대전광역시 유성구 봉명동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,20세,상해없음,보행자,남,54세,경상
2019081000100692,2019년 8월 10일 23시,토요일,대전광역시 중구 유천동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,28세,상해없음,보행자,남,50세,경상
2019081100100072,2019년 8월 11일 04시,일요일,대전광역시 동구 용전동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,남,51세,상해없음,보행자,남,24세,경상
2019081200100054,2019년 8월 12일 01시,월요일,대전광역시 서구 월평동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,56세,상해없음,보행자,여,44세,경상
2019081200100068,2019년 8월 12일 04시,월요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,72세,기타불명,보행자,여,18세,경상
2019081200100237,2019년 8월 12일 10시,월요일,대전광역시 서구 탄방동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,35세,상해없음,보행자,여,73세,중상
2019081200100375,2019년 8월 12일 13시,월요일,대전광역시 유성구 지족동,부상신고사고,0,0,0,1,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로부근,이륜,남,54세,상해없음,보행자,여,15세,부상신고
2019081200100701,2019년 8월 12일 22시,월요일,대전광역시 중구 은행동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,이륜,여,32세,상해없음,보행자,여,16세,경상
